unit_code,program,do_tuoi,level,sub_level,unit_type,assessment,sessions,duration_month,thoi_luong_buoi_phut,order_global,topic_no,chu_de,bai_hoc,tu_duy_khai_niem_dat_duoc,ghi_chu
U4.7,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,32,1,Bốn Mùa III (Xuân),Sách kể chuyện: Lọ thuốc phép thuật,Kết hợp các thuộc tính khác nhau (Tư duy Logic) - VD: Chọn 3 trong 10 màu và tìm các vật có đủ 3 màu đó,Bộ trò chơi Play Kit: Sự kết hợp
U4.8,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,33,1,Vòng quanh thế giới,Sách kể chuyện: Bay trên cán chổi,Phân loại theo cấp độ (Tư duy logic) - Phân loại các đồ vật vào các nhóm khác nhau theo tiêu chí và sắp xếp theo 2-3 cấp độ,Bộ trò chơi Play Kit: Toán học trên thế giới
U4.9,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,34,1,Công cụ,Sách kể chuyện: Luna cáu kỉnh,Giải quyết vấn đề (Tư duy Logic) Phân loại các đồ vật dựa vào các nhóm khác nhau theo tiêu chí và theo 2-3 cấp độ,Bộ trò chơi Play Kit: Thuật toán ma thuật
U4.10,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,35,1,Bốn Mùa IV (Mùa Hè),Sách kể chuyện: Giải cứu Luna!,Hiểu các mẫu phức hợp (Tư duy Toán học),Bộ trò chơi Play Kit: Quái vật
U4.10+,UCREA,3–5 tuổi,U4,,REVIEW,Thi cuối kỳ,4,1,90,36,1,Ôn tập cuối kỳ,Ôn tập U3.6 – U3.10,"Củng cố kiến thức, đánh giá cuối kỳ",
J1,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-1,LESSON,,4,1,110,37,1,Pooka Wooka,Con số và phép toán,Nguyên tắc hệ thống số thập phân; Số có hai chữ số; Số nguyên và phân số,
J1,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-1,LESSON,,4,1,110,37,2,Làm quen với hình dạng,Hình học,"Hình tam giác, hình tứ giác và hình tròn; Vẽ và tạo hình dạng",
J2,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-2,LESSON,,4,1,110,38,1,Tìm bạn,Phân loại,Nhận biết các điểm giống nhau; Phân loại theo thuộc tính,
J2,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-2,LESSON,,4,1,110,38,2,Học viện vương quốc động vật,Kiểu mẫu và giải quyết vấn đề,Nhận diện các kiểu mẫu; Đoán hình dạng tiếp theo,
J3,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-3,LESSON,,4,1,110,39,1,Vùng đất của những con số,Con số và các phép toán,"Số đếm đến 100; Phép cộng, phép trừ và mối quan hệ giữa chúng",
J3,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-3,LESSON,Thi giữa kỳ,4,1,110,39,2,Ghép hình,Hình học,Hình dạng bộ phận và hình dạng toàn phần; Tổng thể và bộ phận,
T1,Bright I.G,Lớp 1–2 (6–7 tuổi),T,T-1,LESSON,,4,1,110,41,1,Hãy đến và cùng chơi!,Nhận thức về không gian,"Phương pháp: Trái, Phải, Lên, Xuống; Tuân theo chỉ dẫn",
T1,Bright I.G,Lớp 1–2 (6–7 tuổi),T,T-1,LESSON,,4,1,110,41,2,Tôi thuộc về nơi nào?,Hình học,Sự chuyển động và xoay của hình khối; Giải đố dựa trên các hình khối,
T2,Bright I.G,Lớp 1–2 (6–7 tuổi),T,T-2,LESSON,,4,1,110,42,1,Trăng và sao,Suy luận logic,Xác định đặc điểm các yếu tố trong một nhóm; Hiểu về khái niệm “giả thiết”,
T2,Bright I.G,Lớp 1–2 (6–7 tuổi),T,T-2,LESSON,,4,1,110,42,2,Các hình dạng khác nhau,Nhận thức về không gian,Các thuộc tính đơn giản của hình 3D; Quan sát hình khối 3D từ những góc độ khác nhau,
T3,Bright I.G,Lớp 1–2 (6–7 tuổi),T,T-3,LESSON,,4,1,110,43,1,Chúng ta cần tính toán,Con số và các phép toán,Số nguyên và phân tách số; Biểu đồ phép cộng và phép trừ,
T3,Bright I.G,Lớp 1–2 (6–7 tuổi),T,T-3,LESSON,Thi giữa kỳ,4,1,110,43,2,"Những bông hoa, những vì sao và tôi",Kiểu mẫu và giải quyết vấn đề,Quan sát và phân tích đường kiểu mẫu đơn/ghép trên đường thẳng; Dự đoán đối tượng tiếp theo trong kiểu mẫu,
C1,Bright I.G,Lớp 1–2 (6–7 tuổi),C,C-1,LESSON,,4,1,110,45,1,Thị trấn yêu tinh,Sự phân loại,Tính chất của đồ vật; Sự tương đồng và khác biệt của các đồ vật,
C1,Bright I.G,Lớp 1–2 (6–7 tuổi),C,C-1,LESSON,,4,1,110,45,2,Duhduh và Daedae,Phép đo lường,"Đo lường độ dài, diện tích, khối lượng và trọng lượng; Đo lường và so sánh các đồ vật",
C2,Bright I.G,Lớp 1–2 (6–7 tuổi),C,C-2,LESSON,,4,1,110,46,1,Toto và 100 hạt sồi,Con số và các phép toán,Xác định giá trị của chữ số theo vị trí; Cộng và trừ,
C2,Bright I.G,Lớp 1–2 (6–7 tuổi),C,C-2,LESSON,,4,1,110,46,2,Sao bạn lại biết?,Suy luận logic,Tính chất bắc cầu của bất đẳng thức; Giải quyết vấn đề logic và giải đố,
C3,Bright I.G,Lớp 1–2 (6–7 tuổi),C,C-3,LESSON,,4,1,110,47,1,Bạn là ai?,Nhận thức về không gian,Quan sát hình dạng của các khối; Tái tạo hình khối 3D sau khi quan sát mặt trước và mặt bên của hình khối đó,
C3,Bright I.G,Lớp 1–2 (6–7 tuổi),C,C-3,LESSON,Thi giữa kỳ,4,1,110,47,2,Đặt câu hỏi,Khả năng phân loại,Tập hợp dữ liệu và sắp xếp chúng bằng đồ thị và biểu đồ; Xem dữ liệu và đoán khả năng,
W1,Bright I.G,Lớp 1–2 (6–7 tuổi),W,W-1,LESSON,,4,1,110,49,1,Chúng giống nhau như thế nào?,Hình học,Sự đối xứng quanh ta; Học về tính đối xứng bằng hoạt động với giấy màu,
W1,Bright I.G,Lớp 1–2 (6–7 tuổi),W,W-1,LESSON,,4,1,110,49,2,Jiji và Nani,Kiểu mẫu và giải quyết vấn đề,"Kiểu mẫu đơn, kiểu mẫu ghép trên đường tròn; Giải đố bằng cách sử dụng các quy tắc kiểu mẫu",
W2,Bright I.G,Lớp 1–2 (6–7 tuổi),W,W-2,LESSON,,4,1,110,50,1,Không cần hỏi đâu,Lý luận Logic,Hiểu được suy luận loại suy; Các mối quan hệ suy luận,
W2,Bright I.G,Lớp 1–2 (6–7 tuổi),W,W-2,LESSON,,4,1,110,50,2,Đi chợ,Con số và các phép toán,Thay thế và chuyển đổi; Thay thế và loại bỏ,
W3,Bright I.G,Lớp 1–2 (6–7 tuổi),W,W-3,LESSON,,4,1,110,51,1,Hoàng tử Zzino,Kiểu mẫu và giải quyết vấn đề,Quan sát hình khối 3D từ những góc độ khác nhau; Tạo một hình khối mới bằng cách kết hợp những hình khối 3D,
W3,Bright I.G,Lớp 1–2 (6–7 tuổi),W,W-3,LESSON,Thi giữa kỳ,4,1,110,51,2,Thực đơn hôm nay,Lý luận logic,Đếm số trường hợp; Đếm số các con đường khác nhau,
Q1,Bright I.G,Lớp 1–2 (6–7 tuổi),Q,Q-1,LESSON,,4,1,110,53,1,Hình khối một phần,Hình học,Tạo một hình mới từ những hình khối khác nhau; Tạo một hình mới từ những mảnh ghép Pentomino,
Q1,Bright I.G,Lớp 1–2 (6–7 tuổi),Q,Q-1,LESSON,,4,1,110,53,2,Trò chơi số học vui vẻ,Con số và các phép toán,Tạo một giá trị giống nhau từ hai con số khác nhau; Chơi domino và các trò chơi con số,
Q2,Bright I.G,Lớp 1–2 (6–7 tuổi),Q,Q-2,LESSON,,4,1,110,54,1,Công viên giải trí,Kiểu mẫu và giải quyết vấn đề,Các kiểu mẫu khác nhau; Dự đoán đồ vật kế tiếp và đối tượng ngày thứ N,
Q2,Bright I.G,Lớp 1–2 (6–7 tuổi),Q,Q-2,LESSON,,4,1,110,54,2,Chia và Chia,Khả năng phân loại,Tập hợp các thuộc tính tương tự nhau; Mối quan hệ giữa Từng phần và Toàn bộ,
Q3,Bright I.G,Lớp 1–2 (6–7 tuổi),Q,Q-3,LESSON,,4,1,110,55,1,Xứ sở thần tiên,Lý luận logic,Giải quyết các câu đố logic khác nhau; Suy nghĩ về các chiến lược giải đố,
